Road 0 -> 14: Moderate traffic (Time: 18 mins, Distance: 9 km)
Road 0 -> 1: High traffic (Time: 39 mins, Distance: 19 km)
Road 0 -> 10: High traffic (Time: 44 mins, Distance: 5 km)
Road 0 -> 8: Moderate traffic (Time: 18 mins, Distance: 11 km)
Road 1 -> 0: Moderate traffic (Time: 9 mins, Distance: 19 km)
Road 1 -> 9: Low traffic (Time: 2 mins, Distance: 13 km)
Road 1 -> 6: High traffic (Time: 54 mins, Distance: 7 km)
Road 1 -> 6: Moderate traffic (Time: 21 mins, Distance: 2 km)
Road 1 -> 9: High traffic (Time: 48 mins, Distance: 18 km)
Road 2 -> 9: Moderate traffic (Time: 14 mins, Distance: 19 km)
Road 2 -> 9: High traffic (Time: 86 mins, Distance: 7 km)
Road 2 -> 14: High traffic (Time: 30 mins, Distance: 20 km)
Road 3 -> 9: Moderate traffic (Time: 24 mins, Distance: 12 km)
Road 3 -> 5: Low traffic (Time: 8 mins, Distance: 4 km)
Road 4 -> 9: High traffic (Time: 54 mins, Distance: 2 km)
Road 4 -> 9: High traffic (Time: 40 mins, Distance: 4 km)
Road 4 -> 11: High traffic (Time: 39 mins, Distance: 10 km)
Road 4 -> 14: High traffic (Time: 39 mins, Distance: 20 km)
Road 5 -> 3: High traffic (Time: 44 mins, Distance: 4 km)
Road 5 -> 9: High traffic (Time: 83 mins, Distance: 16 km)
Road 6 -> 1: Moderate traffic (Time: 13 mins, Distance: 7 km)
Road 6 -> 1: Moderate traffic (Time: 30 mins, Distance: 2 km)
Road 6 -> 10: Low traffic (Time: 7 mins, Distance: 9 km)
Road 6 -> 11: High traffic (Time: 76 mins, Distance: 6 km)
Road 7 -> 10: High traffic (Time: 50 mins, Distance: 15 km)
Road 7 -> 10: High traffic (Time: 40 mins, Distance: 14 km)
Road 8 -> 0: High traffic (Time: 38 mins, Distance: 11 km)
Road 8 -> 10: Moderate traffic (Time: 22 mins, Distance: 15 km)
Road 8 -> 11: High traffic (Time: 45 mins, Distance: 12 km)
Road 9 -> 1: Moderate traffic (Time: 17 mins, Distance: 13 km)
Road 9 -> 2: High traffic (Time: 42 mins, Distance: 19 km)
Road 9 -> 2: Moderate traffic (Time: 14 mins, Distance: 7 km)
Road 9 -> 3: High traffic (Time: 46 mins, Distance: 12 km)
Road 9 -> 4: Low traffic (Time: 10 mins, Distance: 2 km)
Road 9 -> 5: High traffic (Time: 41 mins, Distance: 16 km)
Road 9 -> 12: Low traffic (Time: 9 mins, Distance: 9 km)
Road 9 -> 4: High traffic (Time: 48 mins, Distance: 4 km)
Road 9 -> 1: High traffic (Time: 63 mins, Distance: 18 km)
Road 9 -> 11: High traffic (Time: 38 mins, Distance: 14 km)
Road 9 -> 13: Moderate traffic (Time: 18 mins, Distance: 10 km)
Road 10 -> 0: High traffic (Time: 48 mins, Distance: 5 km)
Road 10 -> 6: High traffic (Time: 48 mins, Distance: 9 km)
Road 10 -> 7: Moderate traffic (Time: 14 mins, Distance: 15 km)
Road 10 -> 8: High traffic (Time: 74 mins, Distance: 15 km)
Road 10 -> 7: High traffic (Time: 66 mins, Distance: 14 km)
Road 11 -> 6: Moderate traffic (Time: 27 mins, Distance: 6 km)
Road 11 -> 9: High traffic (Time: 30 mins, Distance: 14 km)
Road 11 -> 8: High traffic (Time: 31 mins, Distance: 12 km)
Road 11 -> 4: High traffic (Time: 41 mins, Distance: 10 km)
Road 11 -> 12: High traffic (Time: 48 mins, Distance: 17 km)
Road 11 -> 12: High traffic (Time: 25 mins, Distance: 16 km)
Road 12 -> 9: Low traffic (Time: 3 mins, Distance: 9 km)
Road 12 -> 11: High traffic (Time: 53 mins, Distance: 17 km)
Road 12 -> 14: High traffic (Time: 59 mins, Distance: 11 km)
Road 12 -> 11: High traffic (Time: 58 mins, Distance: 16 km)
Road 13 -> 14: Low traffic (Time: 8 mins, Distance: 5 km)
Road 13 -> 9: High traffic (Time: 44 mins, Distance: 10 km)
Road 14 -> 0: Moderate traffic (Time: 20 mins, Distance: 9 km)
Road 14 -> 12: Moderate traffic (Time: 10 mins, Distance: 11 km)
Road 14 -> 13: Low traffic (Time: 1 mins, Distance: 5 km)
Road 14 -> 4: High traffic (Time: 62 mins, Distance: 20 km)
Road 14 -> 2: High traffic (Time: 67 mins, Distance: 20 km)
